StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,message1,message2,message3,AttentionCheck1,message4,Message5,Message6,regulations,GlobalWarming,TrumpHigh,AttentionCheck2,TrumpLow,BidenLow,ExxonHigh,ExxonLow,BidenHigh,MSCHigh,MSCLow,SierraHigh,SierraLow,colgateHigh,ColgateLow,patagoniaHigh,PatagoniaLow,powerthefutureHigh,PowerTheFutureLow,TrumpTemp,BidenTemp,comment,political_affiliat,political_affiliat_4_TEXT,polparty,age,gender,gender_3_TEXT,state_1,EndComments,Random ID,Create New Field or Choose From Dropdown...
7/28/2022 5:32,7/28/2022 5:36,IP Address,68.37.235.146,100,245,TRUE,7/28/2022 5:36,R_2fyaV35CPtOibVC,,,,,42.6563,-83.1231,anonymous,EN,Slightly political,Extremely political,Not at all political,Slightly Political,Slightly political,Slightly political,Not at all political,5,Equally by human activity and natural causes,,,Somewhat political,Very political,Not at all political,,,Somewhat political,Not at all political,,Slightly political,Not at all political,,Extremely political,,Very  political,,7,0,Nothing unusual,Independent,,,25 to 34 years old,Male,,Michigan,,32977,
7/28/2022 5:39,7/28/2022 5:45,IP Address,72.69.247.194,100,347,TRUE,7/28/2022 5:45,R_C9bO0bhLmKHRkc1,,,,,40.7852,-73.8098,anonymous,EN,Extremely political,Very political,Somewhat political,Slightly Political,Somewhat political,Not at all political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,,Extremely political,Extremely political,,Very political,Extremely political,Very political,Not at all political,,,Slightly political,Not at all political,,,Extremely political,,0,6,The last one was just a red screen talking about teeth whitening.,Weak Democrat,,,45 to 54 years old,Male,,New York,,93432,
7/28/2022 5:34,7/28/2022 5:45,IP Address,173.188.8.210,100,623,TRUE,7/28/2022 5:45,R_1rCaDzX1ylJj6VV,,,,,41.0258,-93.7729,anonymous,EN,Extremely political,Extremely political,Extremely political,Slightly Political,Very political,Slightly political,Very political,3,Mostly by human activity,Extremely political,,Somewhat political,,Very political,Slightly political,Extremely political,,Not at all political,,,Slightly political,Not at all political,Very political,,,,4,1,"not really, most of them involved some kind of climate change issue and/or were political ",Weak Republican,,,55 to 64 years old,Female,,Iowa,,15913,
7/28/2022 5:41,7/28/2022 5:49,IP Address,72.14.101.191,100,508,TRUE,7/28/2022 5:49,R_3EYDb7BS07CXVTY,,,,,36.6089,-88.3031,anonymous,EN,Slightly political,Very political,Somewhat political,Slightly Political,Somewhat political,Not at all political,Not at all political,2,Mostly by human activity,,Slightly political,,,,Slightly political,,Slightly political,,Very political,Somewhat political,Slightly political,,Very political,Not at all political,Extremely political,,0,5,Nothing about them seemed that unusual to me.,Weak Democrat,,,35 to 44 years old,Male,,Kentucky,,57453,
7/28/2022 5:45,7/28/2022 5:53,IP Address,69.248.158.138,100,462,TRUE,7/28/2022 5:53,R_3HYTUYwlLeaauaJ,,,,,40.1192,-74.7838,anonymous,EN,Extremely political,Extremely political,Extremely political,Slightly Political,Somewhat political,Somewhat political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,Slightly political,,,,,Extremely political,Very political,,Extremely political,,Not at all political,,,Not at all political,Extremely political,Extremely political,0,7,They were very controversial.,Strong Democrat,,,65 to 74 years old,Female,,New Jersey,,60040,
7/28/2022 5:52,7/28/2022 5:57,IP Address,209.6.244.79,100,310,TRUE,7/28/2022 5:57,R_pQp4S8e5c9mRqgx,,,,,42.2796,-71.1282,anonymous,EN,Somewhat political,Very political,Somewhat political,Slightly Political,Somewhat political,Very political,Very political,3,Mostly by human activity,Very political,,Very political,Somewhat political,,Somewhat political,,,,Very political,,,,Very political,Somewhat political,Very  political,Very  political,0,9,I didn't notice anything unusual regarding these ads.,Weak Democrat,,,45 to 54 years old,Male,,Massachusetts,,50413,
7/28/2022 5:50,7/28/2022 5:59,IP Address,98.22.28.57,100,559,TRUE,7/28/2022 5:59,R_2tlEKv0KkgoRS1s,,,,,29.5799,-95.6085,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Slightly political,Slightly political,Slightly political,2,Mostly by human activity,Extremely political,Slightly political,Very political,,Slightly political,,,Somewhat political,Not at all political,,Slightly political,Not at all political,,,,,Somewhat political,1,7,no,Weak Democrat,,,55 to 64 years old,Female,,Texas,was there something odd/strange about the ads?,52395,
7/28/2022 5:55,7/28/2022 5:59,IP Address,136.56.31.80,100,291,TRUE,7/28/2022 5:59,R_D00tHT1MH2is1UJ,,,,,35.8536,-78.6262,anonymous,EN,Very political,Extremely political,Slightly political,Slightly Political,Not at all political,Not at all political,Not at all political,3,Mostly by human activity,Extremely political,,,Extremely political,Somewhat political,Not at all political,Extremely political,,,,Not at all political,Not at all political,,,,Very  political,Slightly political,5,0,They dealt mostly with climate change and energy.,Independent,,,45 to 54 years old,Male,,North Carolina,,21447,
7/28/2022 6:02,7/28/2022 6:08,IP Address,66.67.4.142,100,388,TRUE,7/28/2022 6:08,R_C7hEqNp2SG9R7lD,,,,,42.8608,-76.9915,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Somewhat political,Somewhat political,Not at all political,3,Mostly by human activity,,Slightly political,Very political,,Very political,Somewhat political,Extremely political,,,,,Slightly political,Not at all political,,Not at all political,Extremely political,,0,8,No,Weak Democrat,,,55 to 64 years old,Male,,New York,,13886,
7/28/2022 6:04,7/28/2022 6:09,IP Address,70.172.194.161,100,315,TRUE,7/28/2022 6:09,R_3QQa0esN9T6TY5y,,,,,41.7689,-71.4758,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Very political,Not at all political,Not at all political,6,Mostly by natural causes,,,Extremely political,Extremely political,Very political,Somewhat political,,Not at all political,Not at all political,Extremely political,,,,,Not at all political,,Somewhat political,6,1,no,Independent,,,35 to 44 years old,Male,,Rhode Island,,72793,
7/28/2022 5:58,7/28/2022 6:13,IP Address,98.219.125.65,100,856,TRUE,7/28/2022 6:13,R_31dqZ6axSXYi5xE,,,,,27.24,-82.4755,anonymous,EN,Extremely political,Extremely political,Somewhat political,Slightly Political,Somewhat political,Slightly political,Very political,2,Mostly by human activity,,,Very political,,,,Extremely political,Extremely political,Somewhat political,Extremely political,,Somewhat political,Not at all political,Extremely political,Not at all political,,,0,1,not really,Weak Democrat,,,25 to 34 years old,Male,,Florida,thank you! ,39326,
7/28/2022 6:02,7/28/2022 6:20,IP Address,184.59.184.90,100,1071,TRUE,7/28/2022 6:20,R_XoLnJY3pYJ4GTfP,,,,,40.8244,-81.3398,anonymous,EN,Somewhat political,Somewhat political,Not at all political,Slightly Political,Not at all political,Not at all political,Not at all political,4,Mostly by human activity,,Slightly political,Slightly political,Extremely political,,Not at all political,Extremely political,,Not at all political,,,,Not at all political,Very political,,Very  political,,9,0,No,Strong Republican,,Republican Party,45 to 54 years old,Female,,Florida,,64984,
7/28/2022 6:19,7/28/2022 6:23,IP Address,97.101.132.89,100,221,TRUE,7/28/2022 6:23,R_BWWO1EQRGpHXVwB,,,,,29.0266,-81.3349,anonymous,EN,Extremely political,Extremely political,Extremely political,Slightly Political,Extremely political,Somewhat political,Slightly political,5,Equally by human activity and natural causes,Extremely political,Extremely political,,,Somewhat political,,,Extremely political,Slightly political,Extremely political,,,Not at all political,,Slightly political,Extremely political,,3,1,No I didn't actually.,Independent,,,45 to 54 years old,Male,,Florida,,17698,
7/28/2022 6:19,7/28/2022 6:24,IP Address,97.92.43.183,100,287,TRUE,7/28/2022 6:24,R_1QuCenq1kxUI7fD,,,,,42.271,-85.542,anonymous,EN,Very political,Extremely political,Very political,Slightly Political,Very political,Slightly political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Very political,Slightly political,,,Very political,Somewhat political,,,,Extremely political,Very political,,,Very political,,Very  political,Very  political,0,3,no,Weak Republican,,,35 to 44 years old,Male,,Michigan,,69196,
7/28/2022 6:18,7/28/2022 6:27,IP Address,75.105.188.214,100,557,TRUE,7/28/2022 6:27,R_11cQy7uKQNewptO,,,,,41.7373,-77.3054,anonymous,EN,Extremely political,Extremely political,Slightly political,Slightly Political,Somewhat political,Slightly political,Slightly political,5,Mostly by natural causes,Extremely political,Slightly political,Slightly political,,Very political,,,Very political,Not at all political,,,,,Extremely political,,Extremely political,Very  political,10,0,nothing unusual,Independent,,,55 to 64 years old,Male,,Pennsylvania,,17946,
7/28/2022 6:24,7/28/2022 6:28,IP Address,97.103.3.4,100,222,TRUE,7/28/2022 6:28,R_6Amfo7VZeO37Ed3,,,,,28.9107,-81.1957,anonymous,EN,Extremely political,Extremely political,Very political,Slightly Political,Extremely political,Somewhat political,Slightly political,2,Mostly by human activity,,,,Extremely political,,,Extremely political,,,Extremely political,,Not at all political,Not at all political,Extremely political,Not at all political,Extremely political,Extremely political,0,5,"Some of the images didn't seem to fit entirely with the context of the text but overall it wasn't ""fishy"" just a bit odd.",Strong Democrat,,,35 to 44 years old,Male,,Florida,,82786,
7/28/2022 6:20,7/28/2022 6:29,IP Address,72.182.198.99,100,570,TRUE,7/28/2022 6:29,R_1luj7lwqcEHSX25,,,,,32.8489,-96.9667,anonymous,EN,Very political,Very political,Slightly political,Slightly Political,Not at all political,Not at all political,Not at all political,2,Mostly by human activity,Extremely political,Slightly political,Somewhat political,Very political,Very political,,Very political,,,,,,Not at all political,,Not at all political,Extremely political,,0,9,No.,Strong Democrat,,,45 to 54 years old,Female,,Texas,,24605,
7/28/2022 6:24,7/28/2022 6:30,IP Address,131.150.96.85,100,307,TRUE,7/28/2022 6:30,R_28CnHtcAS378faq,,,,,42.1921,-121.7233,anonymous,EN,Very political,Extremely political,Extremely political,Slightly Political,Extremely political,Very political,Somewhat political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,Slightly political,Very political,Very political,Very political,,,Very political,,,,,Not at all political,Extremely political,,Extremely political,Very  political,0,0,Nothing unusual.,Weak Democrat,,,45 to 54 years old,Male,,Oregon,Thank you,39190,
7/28/2022 6:24,7/28/2022 6:32,IP Address,98.69.150.58,100,490,TRUE,7/28/2022 6:32,R_6zd4ZtJaJn8YIjT,,,,,35.7109,-78.6594,anonymous,EN,Extremely political,Extremely political,Somewhat political,Slightly Political,Very political,Slightly political,Not at all political,4,Equally by human activity and natural causes,Extremely political,,,Very political,,Very political,Extremely political,Very political,Not at all political,,,Slightly political,,,Slightly political,,Extremely political,0,4,no,Weak Democrat,,,25 to 34 years old,Male,,North Carolina,,75264,
7/28/2022 6:24,7/28/2022 6:35,IP Address,24.112.134.192,100,657,TRUE,7/28/2022 6:35,R_2SJDsnAlNKOLyUN,,,,,40.8552,-82.3143,anonymous,EN,Very political,Extremely political,Slightly political,Slightly Political,Extremely political,Somewhat political,Slightly political,7. No regulation because it will not work and will cost jobs,Mostly by human activity,,Slightly political,,,Very political,,Extremely political,,,Extremely political,Somewhat political,Somewhat political,,,Slightly political,Extremely political,Very  political,1,0,"It seems most of them that I saw are environmental. Also, Trump isn't president anymore. Why bring him up? Republicans need a stronger person than Trump to run next for president. I didn't see any environmental ads however, regarding the real causes of pollution. The extreme rich flying in their private jets whenever they want. The bombs that are set off spewing nuclear and whatever pollution into the universe and what used to be known as chemtrails which do exist.",Strong Republican,,Republican Party,65 to 74 years old,Female,,Ohio,,96006,
7/28/2022 6:31,7/28/2022 6:39,IP Address,63.234.82.58,100,461,TRUE,7/28/2022 6:39,R_1LHcDoW6nvtRirn,,,,,44.8328,-93.4396,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Somewhat political,Slightly political,Slightly political,3,Mostly by human activity,,Slightly political,,Very political,Somewhat political,Somewhat political,Very political,Slightly political,,,Not at all political,,Not at all political,,,Very  political,,0,6,No,Strong Democrat,,,35 to 44 years old,Female,,Minnesota,,97225,
7/28/2022 6:35,7/28/2022 6:39,IP Address,147.92.28.189,100,208,TRUE,7/28/2022 6:39,R_3CUYROMYFDJ5m1G,,,,,36.5217,-86.3171,anonymous,EN,Very political,Extremely political,Very political,Slightly Political,Slightly political,Very political,Slightly political,3,Equally by human activity and natural causes,Extremely political,Extremely political,,,,Slightly political,Extremely political,,Somewhat political,Extremely political,,,,Very political,Not at all political,Extremely political,,0,2,I didn't notice anything weird about the ads.,Independent,,,35 to 44 years old,Female,,Tennessee,,69050,
7/28/2022 6:35,7/28/2022 6:45,IP Address,206.54.198.154,100,591,TRUE,7/28/2022 6:45,R_Q4e2Y5CywyySMzn,,,,,29.572,-95.54,anonymous,EN,Somewhat political,Very political,Very political,Slightly Political,Extremely political,Not at all political,Slightly political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,,Extremely political,,Very political,Somewhat political,,Extremely political,Not at all political,Extremely political,Extremely political,,Not at all political,,,,,0,7,N/A,Weak Democrat,,,25 to 34 years old,Female,,Texas,,15419,
7/28/2022 6:42,7/28/2022 6:46,IP Address,71.114.148.158,100,225,TRUE,7/28/2022 6:46,R_31XVCxnvEpEwazc,,,,,40.2039,-76.7286,anonymous,EN,Very political,Very political,Slightly political,Slightly Political,Somewhat political,Not at all political,Not at all political,7. No regulation because it will not work and will cost jobs,Mostly by natural causes,,Slightly political,Extremely political,Extremely political,Somewhat political,,Extremely political,,Not at all political,,,,Not at all political,Extremely political,,,Very  political,10,0,No,Independent,,,45 to 54 years old,Female,,Pennsylvania,,64028,
7/28/2022 6:41,7/28/2022 6:49,IP Address,98.180.53.35,100,503,TRUE,7/28/2022 6:49,R_2To3r0cS46g915y,,,,,29.6138,-82.386,anonymous,EN,Slightly political,Slightly political,Not at all political,Slightly Political,Not at all political,Not at all political,Not at all political,2,Mostly by human activity,,Slightly political,Somewhat political,,Slightly political,Not at all political,Somewhat political,Not at all political,,,,,,Slightly political,Not at all political,Somewhat political,,0,4,no,Strong Democrat,,,55 to 64 years old,Male,,Florida,,10229,
7/28/2022 6:40,7/28/2022 6:50,IP Address,24.61.250.106,100,583,TRUE,7/28/2022 6:50,R_1OPlVzniiY4Bnxs,,,,,41.3723,-72.5749,anonymous,EN,Extremely political,Extremely political,Very political,Slightly Political,Extremely political,Slightly political,Slightly political,6,Mostly by natural causes,Extremely political,,Extremely political,Extremely political,,Very political,,,Not at all political,,Very political,,Not at all political,Extremely political,,,Very  political,5,1,some were very directly political and some were a bit hidden.,Other:,Libertarian,Republican Party,35 to 44 years old,Female,,Connecticut,everything worked as intended ,75042,
7/28/2022 6:49,7/28/2022 6:53,IP Address,172.58.191.130,100,225,TRUE,7/28/2022 6:53,R_3hm5tFS8gJu1VFF,,,,,39.0005,-76.9712,anonymous,EN,Slightly political,Very political,Slightly political,Slightly Political,Slightly political,Not at all political,Not at all political,6,Equally by human activity and natural causes,Extremely political,Slightly political,Very political,,Not at all political,,,,,Somewhat political,,Not at all political,,,Not at all political,Somewhat political,Not at all political,5,1,Seemed like some were repeats with Trump in them?,Independent,,,35 to 44 years old,Male,,Massachusetts,,23065,
7/28/2022 6:51,7/28/2022 6:54,IP Address,64.222.144.187,100,167,TRUE,7/28/2022 6:54,R_XIpd6huW1gqlb0t,,,,,42.991,-71.4891,anonymous,EN,Very political,Extremely political,Very political,Slightly Political,Extremely political,Slightly political,Somewhat political,2,Mostly by human activity,,Extremely political,,Very political,,Somewhat political,,,Not at all political,Extremely political,,,Not at all political,Extremely political,Not at all political,Extremely political,,0,1,None,Independent,,,35 to 44 years old,Female,,Maine,,51318,
7/28/2022 6:50,7/28/2022 6:54,IP Address,99.14.249.117,100,266,TRUE,7/28/2022 6:54,R_1FkWjfeklYY0Zvc,,,,,35.3135,-81.5599,anonymous,EN,Very political,Very political,Very political,Slightly Political,Somewhat political,Somewhat political,Not at all political,3,Mostly by human activity,Extremely political,Slightly political,,,Somewhat political,,Extremely political,Slightly political,Not at all political,,Extremely political,,,Extremely political,,Extremely political,,0,6,no,Weak Democrat,,,45 to 54 years old,Male,,North Carolina,,74688,
7/28/2022 6:55,7/28/2022 7:01,IP Address,73.130.34.93,100,363,TRUE,7/28/2022 7:01,R_1msDJiPjrMSyFOJ,,,,,40.3473,-75.9305,anonymous,EN,Somewhat political,Very political,Somewhat political,Slightly Political,Very political,Not at all political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,Slightly political,Somewhat political,Somewhat political,,,,Very political,Not at all political,,Not at all political,Not at all political,,,Not at all political,,,0,5,no,Weak Democrat,,,55 to 64 years old,Female,,Pennsylvania,,23694,
7/28/2022 7:03,7/28/2022 7:09,IP Address,98.212.175.7,100,377,TRUE,7/28/2022 7:09,R_vBn6RxP6FwzJVaF,,,,,41.6786,-85.9579,anonymous,EN,Very political,Extremely political,Slightly political,Slightly Political,Slightly political,Not at all political,Not at all political,7. No regulation because it will not work and will cost jobs,Mostly by natural causes,,,,,Slightly political,Somewhat political,Extremely political,Not at all political,,Somewhat political,Somewhat political,,Not at all political,,,Very  political,Slightly political,7,0,no,Strong Republican,,Republican Party,55 to 64 years old,Male,,Indiana,,17267,
7/28/2022 6:48,7/28/2022 7:10,IP Address,73.74.235.162,100,1324,TRUE,7/28/2022 7:10,R_0vV8GnFU4RKYNyx,,,,,40.5594,-90.0237,anonymous,EN,Somewhat political,Not at all political,Slightly political,Slightly Political,Somewhat political,Not at all political,Not at all political,3,Mostly by human activity,,Slightly political,Very political,Somewhat political,Not at all political,,Extremely political,,,Extremely political,Not at all political,,Not at all political,,Not at all political,,,0,9,No,Weak Democrat,,,35 to 44 years old,Female,,Illinois,,42322,
7/28/2022 7:01,7/28/2022 7:11,IP Address,144.71.77.243,100,602,TRUE,7/28/2022 7:11,R_24ouCtEUSt2Ui3P,,,,,42.9074,-78.8197,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Somewhat political,Slightly political,Slightly political,2,Mostly by human activity,,Slightly political,Very political,Somewhat political,Somewhat political,,,Slightly political,Not at all political,,,Slightly political,Not at all political,,Not at all political,,,1,6,No not that I noticed.,Independent,,,45 to 54 years old,Male,,New York,,65900,
7/28/2022 7:08,7/28/2022 7:11,IP Address,50.236.74.82,100,198,TRUE,7/28/2022 7:11,R_1pJRLteaAv0lKVB,,,,,42.6854,-83.9127,anonymous,EN,Very political,Extremely political,Somewhat political,Slightly Political,Slightly political,Not at all political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,,Extremely political,Extremely political,Very political,,Extremely political,Somewhat political,,,,,,Extremely political,,Extremely political,Extremely political,0,4,No,Strong Democrat,,,45 to 54 years old,Male,,Michigan,,48805,
7/28/2022 7:07,7/28/2022 7:13,IP Address,73.66.94.22,100,324,TRUE,7/28/2022 7:13,R_2qBJXtNJE5GKH3N,,,,,39.508,-121.4571,anonymous,EN,Slightly political,Extremely political,Not at all political,Slightly Political,Not at all political,Not at all political,Not at all political,4,Mostly by human activity,,Extremely political,Extremely political,,,Not at all political,,,Not at all political,Extremely political,Not at all political,,Not at all political,,Not at all political,,Not at all political,8,0,Most of the ads were climate change related and against Trump.,Weak Republican,,,65 to 74 years old,Female,,California,,92578,
7/28/2022 7:03,7/28/2022 7:13,IP Address,174.84.220.41,100,626,TRUE,7/28/2022 7:13,R_8f6yRJnEo1raggx,,,,,43.1772,-85.2473,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Somewhat political,Not at all political,Not at all political,3,Equally by human activity and natural causes,Extremely political,,Extremely political,,Somewhat political,,Extremely political,Somewhat political,,,Somewhat political,,,Extremely political,Not at all political,,Extremely political,0,5,"Some were subtle, some were very extreme and in your face.",Independent,,,35 to 44 years old,Male,,Michigan,,65293,
7/28/2022 7:08,7/28/2022 7:14,IP Address,72.131.85.124,100,355,TRUE,7/28/2022 7:14,R_2TRdR5w0MEOX6mJ,,,,,42.5606,-87.829,anonymous,EN,Somewhat political,Extremely political,Somewhat political,Slightly Political,Somewhat political,Not at all political,Not at all political,3,Equally by human activity and natural causes,Extremely political,Slightly political,,,Somewhat political,Not at all political,Very political,,,,,,Not at all political,Somewhat political,Not at all political,,Very  political,6,1,some did not relate to politics or the picture drove the mood of the article?,Independent,,,35 to 44 years old,Female,,Wisconsin,,23745,
7/28/2022 7:13,7/28/2022 7:17,IP Address,216.245.106.73,100,194,TRUE,7/28/2022 7:17,R_3IRJ0pgAH3XMTwf,,,,,34.511,-89.9187,anonymous,EN,Somewhat political,Very political,Slightly political,Slightly Political,Somewhat political,Not at all political,Not at all political,4,Mostly by human activity,,,,Slightly political,Not at all political,,,Somewhat political,Not at all political,Extremely political,,Not at all political,,,Not at all political,Slightly political,Slightly political,5,0,Not really,Independent,,,25 to 34 years old,Female,,Mississippi,,69622,
7/28/2022 7:15,7/28/2022 7:18,IP Address,71.115.145.137,100,202,TRUE,7/28/2022 7:18,R_1MKE8MHq5jjBjlT,,,,,43.1571,-76.328,anonymous,EN,Somewhat political,Extremely political,Slightly political,Slightly Political,Extremely political,Very political,Very political,6,Mostly by human activity,Extremely political,,,Extremely political,,,,Somewhat political,Not at all political,Extremely political,Somewhat political,,,Extremely political,Slightly political,Extremely political,,6,0,No,Strong Republican,,Republican Party,25 to 34 years old,Male,,New York,,89422,
7/28/2022 7:08,7/28/2022 7:19,IP Address,68.108.14.117,100,662,TRUE,7/28/2022 7:19,R_3D6zg6SzfEVFD3A,,,,,36.0088,-115.2178,anonymous,EN,Extremely political,Extremely political,Very political,Slightly Political,Very political,Slightly political,Slightly political,2,Equally by human activity and natural causes,,,Extremely political,Extremely political,Extremely political,Very political,,,,,,Somewhat political,,Extremely political,Slightly political,Extremely political,Extremely political,0,2,no,Independent,,,45 to 54 years old,Female,,Nevada,,60442,
7/28/2022 7:21,7/28/2022 7:24,IP Address,174.26.28.129,100,194,TRUE,7/28/2022 7:24,R_0UIEqa24CFbGSop,,,,,33.4512,-112.0876,anonymous,EN,Extremely political,Extremely political,Somewhat political,Slightly Political,Extremely political,Somewhat political,Slightly political,6,Equally by human activity and natural causes,Extremely political,Slightly political,,,,,Extremely political,Very political,Somewhat political,Extremely political,,Somewhat political,,,,Extremely political,Very  political,6,0,attention checks,Strong Republican,,Republican Party,35 to 44 years old,Male,,Arizona,n,20170,
7/28/2022 6:47,7/28/2022 7:27,IP Address,76.77.45.140,100,2351,TRUE,7/28/2022 7:27,R_3GqXvhUViGQB8ll,,,,,39.7951,-76.9794,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Somewhat political,Slightly political,Not at all political,2,Mostly by human activity,,,Very political,Extremely political,,,Very political,,,Extremely political,Very political,,Not at all political,,Not at all political,Extremely political,Somewhat political,0,4,No - just typical extremist or misleading stuff from both sides. ,Weak Democrat,,,25 to 34 years old,Female,,Pennsylvania,,79083,
7/28/2022 6:55,7/28/2022 7:27,IP Address,74.139.203.191,100,1943,TRUE,7/28/2022 7:27,R_322O3r2YVqinpTC,,,,,40.0818,-82.9665,anonymous,EN,Very political,Very political,Slightly political,Slightly Political,Somewhat political,Not at all political,Not at all political,3,Equally by human activity and natural causes,,Slightly political,Extremely political,Extremely political,,Not at all political,,Somewhat political,Slightly political,,,Somewhat political,Not at all political,,,Extremely political,,3,7,,Weak Democrat,,,35 to 44 years old,Female,,Ohio,,57414,
7/28/2022 7:26,7/28/2022 7:32,IP Address,128.84.125.219,100,335,TRUE,7/28/2022 7:32,R_Rh5yDWFPGNkhbEd,,,,,42.4444,-76.4926,anonymous,EN,Extremely political,Extremely political,Very political,Slightly Political,Somewhat political,Slightly political,Slightly political,2,Mostly by human activity,Extremely political,,Extremely political,,,Slightly political,,Somewhat political,,,Slightly political,Not at all political,,Very political,,Extremely political,Very  political,0,8,"No, not really.",Strong Democrat,,,45 to 54 years old,Female,,New York,,61659,
7/28/2022 7:26,7/28/2022 7:33,IP Address,173.241.77.31,100,409,TRUE,7/28/2022 7:33,R_T0LnyQpI85uwYOR,,,,,34.002,-89.3539,anonymous,EN,Very political,Extremely political,Very political,Slightly Political,Somewhat political,Slightly political,Slightly political,2,Mostly by human activity,Extremely political,,,,Very political,,Extremely political,Somewhat political,Not at all political,Extremely political,,Not at all political,Not at all political,,Not at all political,,,0,3,"Nope, other than one was just a red screen image.",Weak Democrat,,,35 to 44 years old,Male,,Mississippi,,36609,
7/28/2022 7:32,7/28/2022 7:37,IP Address,24.199.148.218,100,330,TRUE,7/28/2022 7:37,R_50YoUI9GciV7uJb,,,,,35.2316,-80.8428,anonymous,EN,Slightly political,Very political,Not at all political,Slightly Political,Not at all political,Not at all political,Slightly political,3,Mostly by human activity,Extremely political,Slightly political,,,,,Very political,,,Very political,Not at all political,Not at all political,Not at all political,Very political,,,Not at all political,2,4,,Weak Democrat,,,35 to 44 years old,Male,,North Carolina,,32993,
7/28/2022 7:35,7/28/2022 7:38,IP Address,107.77.235.126,100,185,TRUE,7/28/2022 7:38,R_33Cic6ADFpbhnny,,,,,33.7485,-84.3871,anonymous,EN,Extremely political,Extremely political,Slightly political,Slightly Political,Somewhat political,Slightly political,Slightly political,4,Mostly by human activity,Extremely political,,Extremely political,Extremely political,Slightly political,Slightly political,,,Slightly political,,Somewhat political,,Not at all political,Extremely political,,,,4,1,One was just a red square,Independent,,,25 to 34 years old,Male,,Kentucky,,91977,
7/28/2022 7:37,7/28/2022 7:41,IP Address,174.203.32.138,100,195,TRUE,7/28/2022 7:41,R_3lQelKHv5TCkvHx,,,,,30.4509,-91.1563,anonymous,EN,Extremely political,Extremely political,Not at all political,Slightly Political,Extremely political,Not at all political,Slightly political,5,Equally by human activity and natural causes,,Slightly political,Extremely political,Extremely political,Slightly political,,,Somewhat political,Not at all political,Extremely political,,,Not at all political,,,Extremely political,,10,0,no,Strong Republican,,Republican Party,45 to 54 years old,Female,,Mississippi,,65094,
7/28/2022 7:36,7/28/2022 7:42,IP Address,24.180.96.238,100,363,TRUE,7/28/2022 7:42,R_1pPPS37JqA96MLx,,,,,42.1917,-85.6322,anonymous,EN,Very political,Very political,Slightly political,Slightly Political,Slightly political,Not at all political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,Slightly political,Somewhat political,,,,,Slightly political,,Extremely political,,Not at all political,,,Not at all political,Extremely political,Not at all political,0,7,No.,Strong Democrat,,,55 to 64 years old,Male,,Michigan,,28322,
7/28/2022 7:33,7/28/2022 7:46,IP Address,75.135.139.194,100,784,TRUE,7/28/2022 7:46,R_2ScyoxXQ4C8DWVL,,,,,45.203,-85.0135,anonymous,EN,Very political,Extremely political,Somewhat political,Slightly Political,Very political,Somewhat political,Slightly political,7. No regulation because it will not work and will cost jobs,Mostly by human activity,Very political,Slightly political,,,,,Extremely political,,,,Somewhat political,Slightly political,Not at all political,,Not at all political,Extremely political,Slightly political,10,0,N/A,Strong Republican,,Republican Party,35 to 44 years old,Male,,Michigan,,28056,
7/28/2022 7:43,7/28/2022 7:50,IP Address,63.248.86.107,100,400,TRUE,7/28/2022 7:50,R_erC3AZJfeurboiJ,,,,,41.1696,-111.9818,anonymous,EN,Slightly political,Very political,Not at all political,Slightly Political,Very political,Not at all political,Not at all political,7. No regulation because it will not work and will cost jobs,Mostly by natural causes,,,Very political,Extremely political,Not at all political,,Extremely political,,,,Slightly political,Not at all political,,Slightly political,,Somewhat political,Somewhat political,10,0,"No, I liked them",Strong Republican,,Republican Party,45 to 54 years old,Female,,Utah,,75271,
